content,id,lineno,loaded_at,name,source,source_type
"Signature: input: store of type 'ContractStore', model_contract of type 'str', entities of type 'ConvertableToRetrivalJob | RetrivalJob', model of type 'Model', dataset_dir of type 'Directory | None', dataset_id of type 'str | None', train_size of type 'float', test_size of type 'float', model_contract_version of type 'str | None', param_search of type 'dict | None', registry of type 'ModelRegristry | None', tracker of type 'ExperimentTracker | None'",src.pipelines.train.classifier_from_train_test_set,221,2024-07-26T03:24:41.889934UTC,classifier_from_train_test_set,src.pipelines.train.classifier_from_train_test_set,function
"Decorated: feature_view(name='kickstarter-docs-question', source=DummyDataSource())
Attribute: query
Attribute: question_id",src.kickstarter_docs.contract.KickstarterQAInputFormat,84,2024-07-26T03:24:41.889934UTC,KickstarterQAInputFormat,src.kickstarter_docs.contract.KickstarterQAInputFormat,class
"Signature: input: request, limit of type 'int | None' returns: pl.LazyFrame",src.kickstarter_docs.contract.parse_all_code_chunks,162,2024-07-23T10:01:33.651636UTC,parse_all_code_chunks,src.kickstarter_docs.contract.parse_all_code_chunks,function
"Signature: input: stm of type 'ast.stmt', hir of type 'list[str]' returns: list[dict]",src.kickstarter_docs.contract.chunks_from,23,2024-07-23T10:51:31.741387UTC,chunks_from,src.kickstarter_docs.contract.chunks_from,function
"Signature: input: model of type 'Model', data of type 'SupervisedJob', params of type 'dict' returns: dict
Decorated: task",src.pipelines.train.find_best_parameters,101,2024-07-26T03:24:41.889934UTC,find_best_parameters,src.pipelines.train.find_best_parameters,function
"Signature: input: stm of type 'ast.stmt', hir of type 'list[str]' returns: list[dict]",src.kickstarter_docs.load_chunks.chunks_from,5,2024-07-26T03:24:41.889934UTC,chunks_from,src.kickstarter_docs.load_chunks.chunks_from,function
"Signature: input: number_of_records of type 'int', search_params of type 'dict | None', train_size of type 'float', test_size of type 'float', dataset_id of type 'str | None'
Decorated: flow(name='train_movie_review_is_negative_with_train_test_validate')",src.movie_review.train.train_sentiment,29,2024-07-26T03:24:41.889934UTC,train_sentiment,src.movie_review.train.train_sentiment,function
Signature: input: chat_store of type 'ChatStore',src.kickstarter_docs.chat_app.run,80,2024-07-26T03:24:41.889934UTC,run,src.kickstarter_docs.chat_app.run,function
"When starting a new AI project, here is the intended development flow.
",README.md/# ML Kickstarter/Intended Development Flow,0,2024-07-26T03:24:41.889934UTC,,README.md/# ML Kickstarter/Intended Development Flow/,docs
"Signature: input: stream, write_property of type 'str' returns: list[Any] | str",src.streamlit_components.async_stream.write_stream,9,2024-07-26T03:24:41.889934UTC,write_stream,src.streamlit_components.async_stream.write_stream,function
"Signature:  returns: ContractStore
Decorated: task",src.pipelines.batch_predict.load_store,8,2024-07-26T03:24:41.889934UTC,load_store,src.pipelines.batch_predict.load_store,function
"Signature: input: locations of type 'list[FeatureLocation]', store of type 'ContractStore' returns: list[FeatureLocation]",src.pipelines.materialize.locations_with_freshness_threshold,125,2024-07-26T03:24:41.889934UTC,locations_with_freshness_threshold,src.pipelines.materialize.locations_with_freshness_threshold,function
Signature: input: schema of type 'Schema' returns: Schema,src.custom_mlflow_server.aligned_schema,78,2024-07-26T03:24:41.889934UTC,aligned_schema,src.custom_mlflow_server.aligned_schema,function
"Decorated: feature_view(name='white_wine', source=dataset_dir.csv_at('white.csv', csv_config=csv_config, mapping_keys=mapping_keys).transform_with_polars(add_hash_column).with_loaded_at(), materialized_source=dataset_dir.csv_at('white_with_id.csv', csv_config=csv_config, mapping_keys=mapping_keys), acceptable_freshness=timedelta(days=30))
'\n    Data from the classic [Wine Quality dataset](https://archive.ics.uci.edu/dataset/186/wine+quality)\n    '
Attribute: wine_id
Attribute: loaded_at
Attribute: fixed_acidity
Attribute: volatile_acidity
Attribute: citric_acid
Attribute: residual_sugar
Attribute: chlorides
Attribute: free_sulfur_dioxide
Attribute: total_sulfur_dioxide
Attribute: density
Attribute: pH
Attribute: sulphates
Attribute: alcohol
Attribute: quality",src.wine.contracts.WhiteWine,54,2024-07-26T03:24:41.889934UTC,WhiteWine,src.wine.contracts.WhiteWine,class
"Signature:  returns: ContractStore
'\n    Loads the contract store.\n    This is needed for the cata catalog, as it is looking for this spesific function.\n    Therefore, it will break if this is renamed.\n\n    You can also manually spesify all the views, and models if that is prefered.\n    '",src.load_store.custom_store,5,2024-07-26T03:24:41.889934UTC,custom_store,src.load_store.custom_store,function
"Signature: input: model_store of type 'ModelFeatureStore', entities of type 'ConvertableToRetrivalJob | RetrivalJob', dataset_dir of type 'Directory | None', train_size of type 'float', test_size of type 'float', dataset_id of type 'str | None' returns: tuple[SupervisedJob, SupervisedJob, SupervisedJob]
Decorated: task",src.pipelines.train.generate_train_test_validate,64,2024-07-26T03:24:41.889934UTC,generate_train_test_validate,src.pipelines.train.generate_train_test_validate,function
"Subclassing: Protocol
Function: start_run. Signature: input: self, run_name of type 'str' returns: Generator[None, None, None]
Function: log_model_params. Signature: input: self, params of type 'dict[str, Any]' returns: None
Function: log_metric. Signature: input: self, key of type 'str', value of type 'float' returns: None
Function: log_figure. Signature: input: self, figure of type 'Figure', name of type 'str' returns: None
Function: report_url. Signature: input: self returns: str | None",src.experiment_tracker.ExperimentTracker,7,2024-07-26T03:24:41.889934UTC,ExperimentTracker,src.experiment_tracker.ExperimentTracker,class
"Signature: input: locations of type 'list[FeatureLocation]', store of type 'ContractStore' returns: dict[FeatureLocation, set[FeatureLocation]]",src.pipelines.materialize.depends_on_map,140,2024-07-26T03:24:41.889934UTC,depends_on_map,src.pipelines.materialize.depends_on_map,function
"Subclassing: MLModel
'\n    Implementation of the MLModel interface to load and serve `scikit-learn`\n    models persisted with `joblib`.\n    '
Function: ping. Signature: input: self returns: str
Function: health. Signature: input: self returns: str
Function: mlflow_version. Signature: input: self returns: str
Function: invocations. Signature: input: self, raw_body of type 'str', content_type of type 'str' returns: Response
Function: load. Signature: input: self returns: bool
Function: _sync_metadata. Signature: input: self returns: None
Function: predict. Signature: input: self, payload of type 'InferenceRequest' returns: InferenceResponse",src.custom_mlflow_server.MLflowRuntime,109,2024-07-26T03:24:41.889934UTC,MLflowRuntime,src.custom_mlflow_server.MLflowRuntime,class
"Signature: input: model_name of type 'str', alias of type 'str', port of type 'int', host of type 'str' returns: None",src.serve_model_locally.start_mlfow_server,8,2024-07-26T03:24:41.889934UTC,start_mlfow_server,src.serve_model_locally.start_mlfow_server,function
"Decorated: model_contract(name='kickstarter-docs-questions', input_features=[question.query], exposed_model=LangChain.from_chain(rag_chain(), chain_output='result', output_key='content', depends_on=[KickstarterDocsEmbedding]))
Attribute: content
Attribute: responded_at",src.kickstarter_docs.contract.KickstarterDocsQuestionAnswer,102,2024-07-26T03:24:41.889934UTC,KickstarterDocsQuestionAnswer,src.kickstarter_docs.contract.KickstarterDocsQuestionAnswer,class
Signature:  returns: list[RunnerDeployment],src.pipelines.available.all_pipelines,13,2024-07-26T03:24:41.889934UTC,all_pipelines,src.pipelines.available.all_pipelines,function
"Signature: input: search_params of type 'dict[str, list[Any]] | None', train_size of type 'float', test_size of type 'float', validate_size of type 'float', dataset_id of type 'str | None' returns: None
Decorated: flow",src.wine.train.train_wine_model,10,2024-07-26T03:24:41.889934UTC,train_wine_model,src.wine.train.train_wine_model,function
Decorated: dataclass,src.kickstarter_docs.chat_app.ChatMessage,20,2024-07-26T03:24:41.889934UTC,ChatMessage,src.kickstarter_docs.chat_app.ChatMessage,class
Signature:  returns: None,src.movie_review.review_app.main,6,2024-07-26T03:24:41.889934UTC,main,src.movie_review.review_app.main,function
"Signature: input: file of type 'str', hir of type 'list[str]' returns: list[dict]
""\n    Parsing a file into different components based on it's format.\n    """,src.kickstarter_docs.contract.parse_md_file,110,2024-07-23T10:51:31.741387UTC,parse_md_file,src.kickstarter_docs.contract.parse_md_file,function
"Signature: input: model of type 'Model', train_set of type 'SupervisedJob' returns: Model
Decorated: task",src.pipelines.train.fit_model,128,2024-07-26T03:24:41.889934UTC,fit_model,src.pipelines.train.fit_model,function
"Decorated: feature_view(name='module_chunks', source=CustomMethodDataSource.from_load(parse_code_chunks).with_loaded_at(), materialized_source=FileSource.csv_at('data/module_chunks.csv'), acceptable_freshness=timedelta(minutes=15), unacceptable_freshness=timedelta(days=1))
Attribute: id
Attribute: source
Attribute: lineno
Attribute: name
Attribute: source_type
Attribute: content
Attribute: loaded_at",src.kickstarter_docs.contract.ModuleChunk,28,2024-07-26T03:24:41.889934UTC,ModuleChunk,src.kickstarter_docs.contract.ModuleChunk,class
"Decorated: feature_view(name='wine', source=WhiteWine.vstack(RedWine, source_column='origin_view'), acceptable_freshness=timedelta(days=30))
'\n    Data from the classic [Wine Quality dataset](https://archive.ics.uci.edu/dataset/186/wine+quality)\n    '
Attribute: wine_id
Attribute: loaded_at
Attribute: fixed_acidity
Attribute: volatile_acidity
Attribute: citric_acid
Attribute: residual_sugar
Attribute: chlorides
Attribute: free_sulfur_dioxide
Attribute: total_sulfur_dioxide
Attribute: density
Attribute: pH
Attribute: sulphates
Attribute: alcohol
Attribute: quality
Attribute: origin_view
Attribute: is_red_wine
Attribute: is_high_quality",src.wine.contracts.Wine,96,2024-07-26T03:24:41.889934UTC,Wine,src.wine.contracts.Wine,class
"Signature: input: col of type 'DeltaGenerator', model_contract of type 'ModelFeatureStore' returns: None",src.kickstarter_docs.chat_app.sidebar,45,2024-07-26T03:24:41.889934UTC,sidebar,src.kickstarter_docs.chat_app.sidebar,function
"Subclassing: ExperimentTracker
Function: start_run. Signature: input: self, run_name of type 'str' returns: Generator[None, None, None]
Function: log_model_params. Signature: input: self, params of type 'dict[str, Any]' returns: None
Function: log_metric. Signature: input: self, key of type 'str', value of type 'float' returns: None
Function: log_figure. Signature: input: self, figure of type 'Figure', name of type 'str' returns: None
Function: report_url. Signature: input: self returns: str | None",src.experiment_tracker.MlFlowExperimentTracker,25,2024-07-26T03:24:41.889934UTC,MlFlowExperimentTracker,src.experiment_tracker.MlFlowExperimentTracker,class
"
This is a kickstarter project for an end-to-end ML.

The goal of this project was to create the project structure that I would love to use my self.
Therefore, it is optimized for **local development** meaning faster iteration speed.

Furthermore, to make projects reliable, reproducable and easy to deploy will everything be developed through **Docker**, but with **hot reloading**. Meaning less build time and as a result faster iteration speeds.

## AI / ML Capabilities
- LLM / embedding server using Ollama
- Model experiment tracking using MLFLow
- Model regristry using MLFLow
- Model serving using MLFlow
- Model evaluation in production using Aligned
- Job orchestration using Prefect
- Data catalog using Aligned
- Data management using Aligned
- Data quality management using Aligned
- Data annotation using Aligned

## Software Development Capabilities
- Complete local development
- Containerized development for easier deployment
- Hot reload updatest to orchestation pipelines
- Hot reload model serving on promotion
- CI with unit and integration test on PRs
- CI warning for potential drift detection

## Intended Development Flow

When starting a new AI project, here is the intended development flow.

### 1. Spin up the infra
First we need to start the needed infrastructure to experiment and run our projects.

Run `make infra-up` this spins up the following:
- `prefect` as the orchetrator that trigger training pipelines. [http://127.0.0.1:4201](http://127.0.0.1:4201)
- `prefect-worker` local workers that run the pipelines. Reloads on file saves.
- `mlflow` as the model registry and the experiment tracker. [http://127.0.0.1:7050](http://127.0.0.1:7050)
- `aligned` as the data catalog and data / ml monitoring. [http://127.0.0.1:9000](http://127.0.0.1:9000)

You are now ready to develop a new model.

### 2. Formulate the AI problem, and the expected AI output.

E.g. if we want to predict if a review is either positive or negative, it could look something like the following:

```python
from aligned import String, Bool, model_contract

@model_contract(
    name=""movie_review_is_negative"",
    input_features=[] # Unclear for now
)
class MovieReviewIsNegative:
    review_id = String().as_entity()
    model_version = String()
    predicted_is_negative = Bool()
```

> [!NOTE]
> Currently the setup assumes that all ML contracts and views are placed in a file called `contract.py`. However this can be changed by chainging the `loaded_contracts.py` file.

### 3. Find relevant features.
We can use the aligned UI to find which features that could be interesting for our ML use-case.

![Find features in Aligned UI](assets/find-features.png)

This assumes that you have told aligned which data to use as the ground truth, which can be done with `.as_classification_label()`.

```python
@feature_view(...)
class MovieReview:
    review_id = String().as_entity()
    review = String()
    is_negative = Bool()

@model_contract(...)
class MoviewReviewIsNegative:
    review_id = String().as_entity()
    predicted_is_negative = (
        MovieReview().is_negative
            .as_classification_label()
    )
```

We can now add the intended features into the contract, but listing them, or the full feature view in the `input_feature` attribute. And it is also possible to have differnet versions of input, incase the input changes over time.

```python
wine_features = Wine()

@model_contract(
    name=""wine_is_high_quality"",
    input_features=[
        wine_features.is_red_wine,
        wine_features.alcohol,
        ...
    ]
)
class WineIsHighQuality:
    ...
```

### 4. Create a training pipeline

Create your own pipeline logic, or maybe reuse the generic classification pipeline, `classifier_from_train_test_set` which is located at `src/pipelines/train.py`.

Remember to add the pipeline to `src/pipelines/available.py` to make it visible in the Prefect UI.

### 5. Train the model

Train the model by using the Prefect UI.

![Prefect UI training run](assets/prefect-train-model.png)

### 6. Manage the Models

View training runs and manage which models should be deployed, through MLFlow.

![Track Models](assets/track-training-runs.png)

### 7. Spin up a serving end-point

Figure out what the url of the model is and serve the ML model.

View the `wine-model` in `docker-compose.yaml` for an example.

### 8. Use the model

To use the model, update our `model_contract` once more with where the model is exposed, and where we want to store the predictions.

Make sure you have started the models with `make models-up`.
This will reload the models when you promote a new model.

Then we can predict over different datasets, or manually inputted data.

![Predict over data](assets/predict-over-data.png)

```python
from aligned import FileSource, ...
from aligned.exposed_model.mlflow import mlflow_server

@model_contract(
    name=""movie_review_is_negative"",
    input_features=[...],
    exposed_at=mlflow_server(
        host=""http://my-docker-service-name:8080"",

        # Used to figure out which model version produced the prediction
        model_name=""movie_review_is_negative"",
        model_alias=""champion""
    ),
    output_source=FileSource.csv_at(""online_preds/movie_review_is_negative.csv""),
    dataset_store=FileSource.json_at(""datasets/movie_review_is_negative.json"")
)
class MoviewReviewIsNegative:
    review_id = String().as_entity()
    model_version = String().as_model_version()
    predicted_is_negative = (
        MovieReview().is_negative
            .as_classification_label()
    )
```

### 9. Evaluate Online Predictions
Lastly, we can start evaluating online predictions whenever we recive new ground truth values.

This can also be done through the aligned UI in the evaluation tab.
Here can different models also be compared against each other if you have added the `as_model_version()` in the model contract.

```python
@model_contract(...)
class MoviewReviewIsNegative:
    review_id = "Decorated: feature_view(name='movie_review', description='Sentiment analysis of text data', source=dataset_dir.csv_at('sentiment.csv'), tags=['annotation'])
Attribute: review_id
Attribute: text
Attribute: is_negative",src.movie_review.contracts.AnnotatedMovieReview,24,2024-07-26T03:24:41.889823UTC,AnnotatedMovieReview,src.movie_review.contracts.AnnotatedMovieReview,class
Signature:  returns: None,src.pipelines.available.listen_to_work,28,2024-07-26T03:24:41.889823UTC,listen_to_work,src.pipelines.available.listen_to_work,function
Signature: input: spec of type 'ColSpec | TensorSpec' returns: FeatureReference,src.custom_mlflow_server.feature_reference_from_spec,92,2024-07-26T03:24:41.889823UTC,feature_reference_from_spec,src.custom_mlflow_server.feature_reference_from_spec,function
"Signature:  returns: ContractStore
Decorated: task",src.pipelines.train.load_store,22,2024-07-26T03:24:41.889823UTC,load_store,src.pipelines.train.load_store,function
Signature: input: chat_store of type 'ChatStore',src.kickstarter_docs.chat_app.run,80,2024-07-26T03:24:41.889823UTC,run,src.kickstarter_docs.chat_app.run,function
"Signature: input: locations of type 'list[FeatureLocation]', store of type 'ContractStore' returns: list[FeatureLocation]",src.pipelines.materialize.locations_with_freshness_threshold,125,2024-07-26T03:24:41.889823UTC,locations_with_freshness_threshold,src.pipelines.materialize.locations_with_freshness_threshold,function
"Signature: input: model_store of type 'ModelFeatureStore', entities of type 'ConvertableToRetrivalJob | RetrivalJob', dataset_dir of type 'Directory', dataset_id of type 'str | None', train_size of type 'float' returns: tuple[SupervisedJob, SupervisedJob]
Decorated: task",src.pipelines.train.generate_train_test,29,2024-0"This is a kickstarter project for an end-to-end ML.

The goal of this project was to create the project structure that I would love to use my self.
Therefore, it is optimized for **local development** meaning faster iteration speed.

Furthermore, to make projects reliable, reproducable and easy to deploy will everything be developed through **Docker**, but with **hot reloading**. Meaning less build time and as a result faster iteration speeds.
",README.md/# ML Kickstarter,0,2024-07-26T03:24:41.889934UTC,,README.md/# ML Kickstarter/,docs
Signature: input: request of type 'Request' returns: str,src.custom_mlflow_server._get_raw_body,87,2024-07-26T03:24:41.889934UTC,_get_raw_body,src.custom_mlflow_server._get_raw_body,function
Signature:  returns: None,src.serve_model_locally.serve_mlflow_model,40,2024-07-26T03:24:41.889934UTC,serve_mlflow_model,src.serve_model_locally.serve_mlflow_model,function
"Signature: input: location of type 'FeatureLocation', store of type 'ContractStore' returns: set[FeatureLocation]",src.pipelines.materialize.location_depends_on,83,2024-07-26T03:24:41.889934UTC,location_depends_on,src.pipelines.materialize.location_depends_on,function
"Signature: input: update_tag of type 'str | None'
Decorated: flow",src.pipelines.batch_predict.batch_predict,133,2024-07-23T10:51:31.741387UTC,batch_predict,src.pipelines.batch_predict.batch_predict,function
"Signature: input: store of type 'ContractStore' returns: dict[FeatureLocation, int]",src.pipelines.materialize.levels_for_store,61,2024-07-26T03:24:41.889934UTC,levels_for_store,src.pipelines.materialize.levels_for_store,function
"Signature: input: number_of_records of type 'int', store of type 'ContractStore' returns: pl.DataFrame
Decorated: task",src.movie_review.train.equal_distribution_entities,11,2024-07-26T03:24:41.889934UTC,equal_distribution_entities,src.movie_review.train.equal_distribution_entities,function
"Subclassing: ModelRegristry
Function: __init__. Signature: input: self, models of type 'dict[str, Model] | None'
Function: store_model. Signature: input: self, model of type 'Model', model_name of type 'str', store of type 'FeatureStore' returns: str
Function: load_model_with_id. Signature: input: self, id of type 'str' returns: Model | None
Function: load_model. Signature: input: self, name of type 'str' returns: Model | None",src.model_registry.InMemoryModelRegristry,83,2024-07-26T03:24:41.889934UTC,InMemoryModelRegristry,src.model_registry.InMemoryModelRegristry,class
"Signature:  returns: ContractStore
Decorated: task",src.pipelines.materialize.load_store,11,2024-07-26T03:24:41.889934UTC,load_store,src.pipelines.materialize.load_store,function
"Signature:  returns: ContractStore
Decorated: task",src.pipelines.train.load_store,22,2024-07-26T03:24:41.889934UTC,load_store,src.pipelines.train.load_store,function
"Signature: input: model_id of type 'str', datasets of type 'list[tuple[str, SupervisedJob]]', model_registry of type 'ModelRegristry', tracker of type 'ExperimentTracker' returns: None
Decorated: task",src.pipelines.train.evaluate_model,145,2024-07-26T03:24:41.889934UTC,evaluate_model,src.pipelines.train.evaluate_model,function
"Subclassing: Protocol
Function: store_model. Signature: input: self, model of type 'Model', model_name of type 'str', store of type 'FeatureStore' returns: str
Function: load_model_with_id. Signature: input: self, id of type 'str' returns: Model | None
Function: load_model. Signature: input: self, name of type 'str' returns: Model | None",src.model_registry.ModelRegristry,72,2024-07-26T03:24:41.889934UTC,ModelRegristry,src.model_registry.ModelRegristry,class
"Signature: input: location of type 'str | None' returns: None
Decorated: flow
'\n    Updates all data that is out of data based on the `accepted_freshness` threshold.\n\n    If no location is passed in will all views be checked.\n    However, you can also pass in a view to only update for a subset.\n    E.g: `feature_view:wine` or `model:movie_review_is_negative`\n    '",src.pipelines.materialize.update_out_of_date_data,172,2024-07-26T03:24:41.889934UTC,update_out_of_date_data,src.pipelines.materialize.update_out_of_date_data,function
"Signature: input: levels of type 'dict[FeatureLocation, int]' returns: list[list[FeatureLocation]]",src.pipelines.materialize.update_order,150,2024-07-26T03:24:41.889934UTC,update_order,src.pipelines.materialize.update_order,function
"This projects contain a simple `Makefile` to simplify the development.
",README.md/# ML Kickstarter/Other make commands,0,2024-07-26T03:24:41.889934UTC,,README.md/# ML Kickstarter/Other make commands/,docs
"Decorated: model_contract(name='is_high_quality_wine', input_features=[wine.fixed_acidity, wine.volatile_acidity, wine.citric_acid, wine.residual_sugar, wine.chlorides, wine.free_sulfur_dioxide, wine.total_sulfur_dioxide, wine.density, wine.pH, wine.sulphates, wine.alcohol, wine.is_red_wine], exposed_model=mlflow_server(host='http://wine-model:8080', model_name='is_high_quality_wine', model_alias='champion'), output_source=dataset_dir.csv_at('predictions.csv'), dataset_store=dataset_dir.json_at('datasets.json'), contacts=['@MatsMoll'], acceptable_freshness=timedelta(days=30))
Attribute: wine_id
Attribute: predicted_at
Attribute: predicted_quality",src.wine.contracts.WineModel,155,2024-07-26T03:24:41.889934UTC,WineModel,src.wine.contracts.WineModel,class
Signature:  returns: None,src.pipelines.available.listen_to_work,28,2024-07-26T03:24:41.889934UTC,listen_to_work,src.pipelines.available.listen_to_work,function
"
This directory contains data from the pytest's cache plugin,
which provides the `--lf` and `--ff` options, as well as the `cache` fixture.

**Do not** commit this to version control.

See [the docs](https://docs.pytest.org/en/stable/how-to/cache.html) for more information.
",.pytest_cache/README.md,0,2024-07-26T03:24:41.889934UTC,# pytest cache directory #,.pytest_cache/README.md/# pytest cache directory #,docs
"Signature: input: schema of type 'Schema', prefix returns: list[MetadataTensor]",src.custom_mlflow_server.to_metadata_tensors,51,2024-07-26T03:24:41.889934UTC,to_metadata_tensors,src.custom_mlflow_"Decorated: model_contract(name='is_high_quality_wine', input_features=[wine.fixed_acidity, wine.volatile_acidity, wine.citric_acid, wine.residual_sugar, wine.chlorides, wine.free_sulfur_dioxide, wine.total_sulfur_dioxide, wine.density, wine.pH, wine.sulphates, wine.alcohol, wine.is_red_wine], exposed_model=mlflow_server(host='http://wine-model:8080', model_name='is_high_quality_wine', model_alias='champion'), output_source=dataset_dir.csv_at('predictions.csv'), dataset_store=dataset_dir.json_at('datasets.json'), contacts=['@MatsMoll'], acceptable_freshness=timedelta(days=30))
Attribute: wine_id
Attribute: predicted_at
Attribute: predicted_quality",src.wine.contracts.WineModel,155,2024-07-26T03:24:41.889823UTC,WineModel,src.wine.contracts.WineModel,class
Signature: input: request returns: pl.LazyFrame,src.kickstarter_docs.contract.parse_code_chunks,158,2024-07-23T10:51:31.741387UTC,parse_code_chunks,src.kickstarter_docs.contract.parse_code_chunks,function
"Signature: input: file of type 'str', hir of type 'list[str]' returns: list[dict]
""\n    Parsing a file into different components based on it's format.\n    """,src.kickstarter_docs.load_chunks.parse_md_file,92,2024-07-26T03:24:41.889823UTC,parse_md_file,src.kickstarter_docs.load_chunks.parse_md_file,function
