loaded_at;fixed acidity;quality;chlorides;pH;citric acid;residual sugar;sulphates;wine_id;volatile acidity;total sulfur dioxide;density;free sulfur dioxide;alcohol
2024-07-18T09:10:29.271741+UTC;7.9;5;0.106;3.17;0.21;1.6;0.91;2207877750;0.43;37.0;0.9966;10.0;9.5
2024-07-18T09:10:29.271741+UTC;7.1;5;0.08;3.47;0.0;1.9;0.55;1566773058;0.71;35.0;0.9972;14.0;9.4
2024-07-18T09:10:29.271741+UTC;7.8;6;0.082;3.38;0.0;2.0;0.59;1084345544;0.645;16.0;0.9964;8.0;9.8
2024-07-18T09:10:29.271741+UTC;6.7;5;0.089;3.35;0.07;2.4;0.54;1084768290;0.675;82.0;0.9958;17.0;10.1
2024-07-18T09:10:29.271741+UTC;6.9;6;0.105;3.46;0.0;2.5;0.57;695475700;0.685;37.0;0.9966;22.0;10.6
2024-07-18T09:10:29.271741+UTC;8.3;5;0.083;3.17;0.12;2.3;0.66;2185010237;0.655;113.0;0.9966;15.0;9.8
2024-07-18T09:10:29.271741+UTC;6.9;6;0.073;3.45;0.12;10.7;0.52;1553189450;0.605;83.0;0.9993;40.0;9.4
2024-07-18T09:10:29.271741+UTC;5.2;5;0.103;3.38;0.25;1.8;0.55;2930970585;0.32;50.0;0.9957;13.0;9.2
2024-07-18T09:10:29.271741+UTC;7.8;6;0.086;3.4;0.0;5.5;0.55;1534543974;0.645;18.0;0.9986;5.0;9.6
2024-07-18T09:10:29.271741+UTC;7.8;6;0.086;3.42;0.14;2.4;0.6;1285791923;0.6;15.0;0.9975;3.0;10.8
2024-07-18T09:10:29.271741+UTC;8.1;7;0.066;3.23;0.28;2.1;0.73;3787390810;0.38;30.0;0.9968;13.0;9.7
2024-07-18T09:10:29.271741+UTC;5.7;4;0.172;3.5;0.09;1.5;0.48;4218532772;1.13;19.0;0.994;7.0;9.8
2024-07-18T09:10:29.271741+UTC;7.3;5;0.074;3.33;0.36;5.9;0.83;3520170795;0.45;87.0;0.9978;12.0;10.5
2024-07-18T09:10:29.271741+UTC;7.3;5;0.074;3.33;0.36;5.9;0.83;3520170795;0.45;87.0;0.9978;12.0;10.5
2024-07-18T09:10:29.271741+UTC;8.8;4;0.088;3.26;0.3;2.8;0.51;3035684126;0.61;46.0;0.9976;17.0;9.3
2024-07-18T09:10:29.271741+UTC;7.5;6;0.332;3.21;0.2;2.6;0.9;1845151997;0.49;14.0;0.9968;8.0;10.5
2024-07-18T09:10:29.271741+UTC;8.1;5;0.069;3.3;0.22;2.2;1.2;2059527575;0.66;23.0;0.9968;9.0;10.3
2024-07-18T09:10:29.271741+UTC;6.8;5;0.05;3.48;0.02;1.8;0.52;669076106;0.67;11.0;0.9962;5.0;9.5
2024-07-18T09:10:29.271741+UTC;4.6;4;0.054;3.9;0.15;2.1;0.56;3544969822;0.52;65.0;0.9934;8.0;13.1
2024-07-18T09:10:29.271741+UTC;7.7;5;0.114;3.25;0.43;2.2;0.73;618262907;0.935;114.0;0.997;22.0;9.2
2024-07-18T09:10:29.271741+UTC;8.7;5;0.113;3.25;0.52;1.6;0.58;1225533005;0.29;37.0;0.9969;12.0;9.5
2024-07-18T09:10:29.271741+UTC;6.4;5;0.066;3.34;0.23;1.6;0.56;215797229;0.4;12.0;0.9958;5.0;9.2
2024-07-18T09:10:29.271741+UTC;5.6;5;0.074;3.32;0.37;1.4;0.58;1114777562;0.31;96.0;0.9954;12.0;9.2
2024-07-18T09:10:29.271741+UTC;8.8;5;0.074;3.15;0.26;1.7;0.74;2551012745;0.66;23.0;0.9971;4.0;9.2
2024-07-18T09:10:29.271741+UTC;6.6;6;0.069;3.4;0.04;2.2;0.63;2266988421;0.52;15.0;0.9956;8.0;9.4
2024-07-18T09:10:29.271741+UTC;6.6;6;0.068;3.39;0.04;2.1;0.64;2407358819;0.5;14.0;0.9955;6.0;9.4
2024-07-18T09:10:29.271741+UTC;8.6;5;0.081;3.2;0.36;3.0;0.56;4287221493;0.38;119.0;0.997;30.0;9.4
2024-07-18T09:10:29.271741+UTC;7.6;6;0.11;3.17;0.15;2.8;0.63;1521068067;0.51;73.0;0.9955;33.0;10.2
2024-07-18T09:10:29.271741+UTC;7.7;5;0.084;3.34;0.04;3.8;0.53;4056786695;0.62;45.0;0.9978;25.0;9.5
2024-07-18T09:10:29.271741+UTC;10.2;5;0.07;3.04;0.57;3.4;0.63;2796279827;0.42;10.0;0.9971;4.0;9.6
2024-07-18T09:10:29.271741+UTC;7.5;5;0.111;3.26;0.12;5.1;0.77;2243779581;0.63;110.0;0.9983;50.0;9.4
2024-07-18T09:10:29.271741+UTC;7.8;5;0.076;3.43;0.18;2.3;0.59;1167984879;0.59;54.0;0.9975;17.0;10.0
2024-07-18T09:10:29.271741+UTC;7.3;6;0.074;3.41;0.31;2.4;0.54;1934103252;0.39;46.0;0.9962;9.0;9.4
2024-07-18T09:10:29.271741+UTC;8.8;5;0.079;3.44;0.4;2.2;0.64;3872831530;0.4;52.0;0.998;19.0;9.2
2024-07-18T09:10:29.271741+UTC;7.7;5;0.115;3.21;0.49;1.8;0.71;3269230330;0.69;112.0;0.9968;20.0;9.3
2024-07-18T09:10:29.271741+UTC;7.5;7;0.085;3.38;0.16;1.9;0.62;3573618564;0.52;35.0;0.9968;12.0;9.5
2024-07-18T09:10:29.271741+UTC;7.0;5;0.081;3.39;0.05;2.0;0.57;2324715835;0.735;54.0;0.9966;13.0;9.8
2024-07-18T09:10:29.271741+UTC;7.2;5;0.086;3.41;0.05;4.65;0.39;698773595;0.725;11.0;0.9962;4.0;10.9
2024-07-18T09:10:29.271741+UTC;7.2;5;0.086;3.41;0.05;4.65;0.39;698773595;0.725;11.0;0.9962;4.0;10.9
2024-07-18T09:10:29.271741+UTC;7.5;5;0.079;3.42;0.11;1.5;0.58;925998652;0.52;39.0;0.9968;11.0;9.6
2024-07-18T09:10:29.271741+UTC;6.6;5;0.076;3.44;0.07;1.6;0.58;3346940825;0.705;15.0;0.9962;6.0;10.7
2024-07-18T09:10:29.271741+UTC;9.3;5;0.074;3.28;0.57;2.0;0.79;1043193187;0.32;65.0;0.9969;27.0;10.7
2024-07-18T09:10:29.271741+UTC;8.0;6;0.074;3.34;0.05;1.9;0.95;297094713;0.705;19.0;0.9962;8.0;10.5
2024-07-18T09:10:29.271741+UTC;7.7;6;0.076;3.32;0.08;1.9;0.54;2952130699;0.63;27.0;0.9967;15.0;9.5
2024-07-18T09:10:29.271741+UTC;7.7;5;0.088;3.32;0.23;2.1;0.48;800424333;0.67;96.0;0.9962;17.0;9.5
2024-07-18T09:10:29.271741+UTC;7.7;5;0.084;3.31;0.22;1.9;0.48;2445519174;0.69;94.0;0.9961;18.0;9.5
2024-07-18T09:10:29.271741+UTC;8.3;4;0.084;3.31;0.26;2.1;0.53;1318958037;0.675;43.0;0.9976;11.0;9.2
2024-07-18T09:10:29.271741+UTC;9.7;5;0.094;3.28;0.54;2.5;0.82;3982061220;0.32;83.0;0.9984;28.0;9.6
2024-07-18T09:10:29.271741+UTC;8.8;5;0.093;3.54;0.64;2.2;0.66;2216931627;0.41;42.0;0.9986;9.0;10.5
2024-07-18T09:10:29.271741+UTC;8.8;5;0.093;3.54;0.64;2.2;0.66;2216931627;0.41;42.0;0.9986;9.0;10.5
2024-07-18T09:10:29.271741+UTC;6.8;6;0.104;3.52;0.0;2.4;0.55;80668269;0.785;30.0;0.9966;14.0;10.7
2024-07-18T09:10:29.271741+UTC;6.7;5;0.086;3.38;0.12;2.0;0.52;3036934781;0.75;80.0;0.9958;12.0;10.1
2024-07-18T09:10:29.271741+UTC;8.3;4;0.08;3.16;0.2;1.5;1.12;1668664429;0.625;119.0;0.9972;27.0;9.1
2024-07-18T09:10:29.271741+UTC;6.2;5;0.069;3.41;0.2;1.6;0.56;526754449;0.45;15.0;0.9958;3.0;9.2
2024-07-18T09:10:29.271741+UTC;7.8;5;0.464;3.13;0.7;1.9;1.28;1523949206;0.43;67.0;0.9974;22.0;9.4
2024-07-18T09:10:29.271741+UTC;7.4;5;0.086;3.36;0.47;2.0;0.57;3190587349;0.5;73.0;0.997;21.0;9.1
2024-07-18T09:10:29.271741+UTC;7.3;5;0.401;3.16;0.26;1.8;1.14;3130835599;0.67;51.0;0.9969;16.0;9.4
2024-07-18T09:10:29.271741+UTC;6.3;6;0.069;3.44;0.48;1.8;0.78;420758834;0.3;61.0;0.9959;18.0;10.3
2024-07-18T09:10:29.271741+UTC;6.9;5;0.076;3.41;0.15;2.2;0.59;1769624985;0.55;40.0;0.9961;19.0;10.1
2024-07-18T09:10:29.271741+UTC;8.6;6;0.11;2.93;0.28;1.9;1.95;3060624303;0.49;136.0;0.9972;20.0;9.9
2024-07-18T09:10:29.271741+UTC;7.7;5;0.062;3.39;0.26;1.9;0.64;1934365657;0.49;31.0;0.9966;9.0;9.6
2024-07-18T09:10:29.271741+UTC;9.3;5;0.107;3.14;0.44;2.1;1.22;1915877179;0.39;125.0;0.9978;34.0;9.5
2024-07-18T09:10:29.271741+UTC;7.0;5;0.076;3.48;0.08;1.8;0.53;3327820626;0.62;24.0;0.9978;8.0;9.0
2024-07-18T09:10:29.271741+UTC;7.9;5;0.079;3.23;0.26;1.9;0.54;2018907724;0.52;140.0;0.9964;42.0;9.5
2024-07-18T09:10:29.271741+UTC;8.6;6;0.11;2.93;0.28;1.9;1.95;3060624303;0.49;136.0;0.9972;20.0;9.9
2024-07-18T09:10:29.271741+UTC;8.6;5;0.11;2.93;0.29;2.0;1.98;1949074955;0.49;133.0;0.9972;19.0;9.8
2024-07-18T09:10:29.271741+UTC;7.7;5;0.062;3.39;0.26;1.9;0.64;1934365657;0.49;31.0;0.9966;9.0;9.6
2024-07-18T09:10:29.271741+UTC;5.0;4;0.045;3.75;0.04;1.4;0.48;285198024;1.02;85.0;0.9938;41.0;10.5
2024-07-18T09:10:29.271741+UTC;4.7;6;0.058;3.85;0.17;2.3;0.6;1641134676;0.6;106.0;0.9932;17.0;12.9
2024-07-18T09:10:29.271741+UTC;6.8;5;0.102;3.45;0.0;3.0;0.56;2591386113;0.775;23.0;0.9965;8.0;10.7
2024-07-18T09:10:29.271741+UTC;7.0;5;0.07;3.25;0.25;2.0;0.63;1361649351;0.5;22.0;0.9963;3.0;9.2
2024-07-18T09:10:29.271741+UTC;7.6;5;0.079;3.39;0.06;2.5;0.56;1774847667;0.9;10.0;0.9967;5.0;9.8
2024-07-18T09:10:29.271741+UTC;8.1;6;0.08;3.3;0.18;1.9;0.59;1598703137;0.545;35.0;0.9972;13.0;9.0
2024-07-18T09:10:29.271741+UTC;8.3;6;0.084;3.4;0.3;2.1;0.61;2779555248;0.61;50.0;0.9972;11.0;10.2
2024-07-18T09:10:29.271741+UTC;7.8;6;0.075;3.31;0.3;1.9;0.56;2714677226;0.5;22.0;0.9959;8.0;10.4
2024-07-18T09:10:29.271741+UTC;8.1;6;0.08;3.3;0.18;1.9;0.59;1598703137;0.545;35.0;0.9972;13.0;9.0
2024-07-18T09:10:29.271741+UTC;8.1;5;0.077;3.29;0.22;2.1;0.51;2510197977;0.575;65.0;0.9967;12.0;9.2
2024-07-18T09:10:29.271741+UTC;7.2;5;0.07;3.33;0.24;2.2;0.48;3929165314;0.49;36.0;0.996;5.0;9.4
2024-07-18T09:10:29.271741+UTC;8.1;5;0.077;3.29;0.22;2.1;0.51;2510197977;0.575;65.0;0.9967;12.0;9.2
2024-07-18T09:10:29.271741+UTC;7.8;5;0.467;3.08;0.68;1.7;1.31;1124484924;0.41;69.0;0.9973;18.0;9.3
2024-07-18T09:10:29.271741+UTC;6.2;5;0.088;3.46;0.31;1.7;0.79;3288434901;0.63;64.0;0.9969;15.0;9.3
2024-07-18T09:10:29.271741+UTC;8.0;6;0.091;3.37;0.53;2.5;0.8;3770742685;0.33;80.0;0.9976;18.0;9.6
2024-07-18T09:10:29.271741+UTC;8.1;5;0.122;3.21;0.52;2.0;0.69;3614799097;0.785;153.0;0.9969;37.0;9.3
2024-07-18T09:10:29.271741+UTC;7.8;5;0.104;3.19;0.19;1.8;0.93;1583547693;0.56;47.0;0.9964;12.0;9.5
2024-07-18T09:10:29.271741+UTC;8.4;5;0.084;3.15;0.09;2.2;0.66;1173815060;0.62;108.0;0.9964;11.0;9.8
2024-07-18T09:10:29.271741+UTC;8.4;5;0.085;3.15;0.1;2.2;0.66;1149839252;0.6;111.0;0.9964;14.0;9.8
2024-07-18T09:10:29.271741+UTC;10.1;6;0.08;3.32;0.44;2.3;0.67;1754323628;0.31;46.0;0.9988;22.0;9.7
2024-07-18T09:10:29.271741+UTC;7.8;5;0.104;3.19;0.19;1.8;0.93;1583547693;0.56;47.0;0.9964;12.0;9.5
2024-07-18T09:10:29.271741+UTC;9.4;6;0.09;3.07;0.31;2.2;0.63;1951538547;0.4;62.0;0.9966;13.0;10.5
2024-07-18T09:10:29.271741+UTC;8.3;6;0.077;3.39;0.28;1.9;0.61;4183523999;0.54;40.0;0.9978;11.0;10.0
2024-07-18T09:10:29.271741+UTC;7.8;6;0.082;3.37;0.12;2.0;0.5;197606216;0.56;28.0;0.997;7.0;9.4
2024-07-18T09:10:29.271741+UTC;8.8;6;0.119;3.21;0.04;2.2;0.6;3320334491;0.55;56.0;0.9962;14.0;10.9
2024-07-18T09:10:29.271741+UTC;7.0;6;0.097;3.34;0.08;1.8;0.54;831841225;0.69;89.0;0.9959;22.0;9.2
2024-07-18T09:10:29.271741+UTC;7.3;5;0.178;3.3;0.09;1.7;0.57;2848744910;1.07;89.0;0.9962;10.0;9.0
2024-07-18T09:10:29.271741+UTC;8.8;6;0.119;3.21;0.04;2.2;0.6;3320334491;0.55;56.0;0.9962;14.0;10.9
2024-07-18T09:10:29.271741+UTC;7.3;5;0.075;3.49;0.0;2.5;0.52;2554857935;0.695;13.0;0.998;3.0;9.2
2024-07-18T09:10:29.271741+UTC;8.0;5;0.08;3.44;0.0;2.6;0.53;4217049706;0.71;34.0;0.9976;11.0;9.5
2024-07-18T09:10:29.271741+UTC;7.8;5;0.082;3.39;0.17;1.6;0.48;4041980222;0.5;102.0;0.996;21.0;9.5
2024-07-18T09:10:29.271741+UTC;9.0;5;0.146;3.16;0.04;1.9;0.7;3372793844;0.62;90.0;0.9984;27.0;9.4
2024-07-18T09:10:29.271741+UTC;8.2;5;0.081;3.53;0.0;1.7;0.49;3521436787;1.33;12.0;0.9964;3.0;10.9
2024-07-18T09:10:29.271741+UTC;8.1;5;0.082;3.54;0.0;1.8;0.48;381457720;1.33;12.0;0.9964;3.0;10.9
2024-07-18T09:10:29.271741+UTC;8.0;7;0.065;3.42;0.16;1.8;0.92;3248146027;0.59;16.0;0.9962;3.0;10.5
2024-07-18T09:10:29.271741+UTC;6.1;5;0.072;3.42;0.15;1.8;0.57;3651372888;0.38;19.0;0.9955;6.0;9.4
2024-07-18T09:10:29.271741+UTC;8.0;5;0.118;3.24;0.56;2.0;0.66;322950141;0.745;134.0;0.9968;30.0;9.4
2024-07-18T09:10:29.271741+UTC;5.6;5;0.049;3.63;0.09;2.3;0.63;2270553037;0.5;99.0;0.9937;17.0;13.0
2024-07-18T09:10:29.271741+UTC;5.6;5;0.049;3.63;0.09;2.3;0.63;2270553037;0.5;99.0;0.9937;17.0;13.0
2024-07-18T09:10:29.271741+UTC;6.6;6;0.06;3.4;0.01;1.5;0.58;3157779087;0.5;26.0;0.9952;17.0;9.8
2024-07-18T09:10:29.271741+UTC;7.9;6;0.084;3.22;0.05;2.2;0.55;2782198976;1.04;29.0;0.9959;13.0;9.9
2024-07-18T09:10:29.271741+UTC;8.4;5;0.09;3.19;0.11;1.9;0.82;1349293591;0.745;63.0;0.9965;16.0;9.6
2024-07-18T09:10:29.271741+UTC;8.3;5;0.089;3.23;0.15;1.8;0.77;2914600319;0.715;52.0;0.9968;10.0;9.5
2024-07-18T09:10:29.271741+UTC;7.2;5;0.081;3.48;0.36;2.0;0.64;1579488019;0.415;45.0;0.9972;13.0;9.2
2024-07-18T09:10:29.271741+UTC;7.8;5;0.081;3.33;0.19;2.1;0.54;3197622964;0.56;105.0;0.9962;15.0;9.5
2024-07-18T09:10:29.271741+UTC;7.8;5;0.081;3.32;0.19;2.0;0.54;2311153312;0.56;108.0;0.9962;17.0;9.5
2024-07-18T09:10:29.271741+UTC;8.4;5;0.09;3.19;0.11;1.9;0.82;1349293591;0.745;63.0;0.9965;16.0;9.6
2024-07-18T09:10:29.271741+UTC;8.3;5;0.089;3.23;0.15;1.8;0.77;2914600319;0.715;52.0;0.9968;10.0;9.5
2024-07-18T09:10:29.271741+UTC;5.2;6;0.05;3.68;0.0;1.8;0.79;1799920647;0.34;63.0;0.9916;27.0;14.0
2024-07-18T09:10:29.271741+UTC;6.3;5;0.066;3.34;0.08;1.7;0.58;290887142;0.39;20.0;0.9954;3.0;9.4
2024-07-18T09:10:29.271741+UTC;5.2;6;0.05;3.68;0.0;1.8;0.79;1799920647;0.34;63.0;0.9916;27.0;14.0
2024-07-18T09:10:29.271741+UTC;8.1;5;0.117;3.17;0.55;1.8;0.62;2500473903;0.67;141.0;0.9968;32.0;9.4
2024-07-18T09:10:29.271741+UTC;5.8;5;0.087;3.54;0.02;1.8;0.52;1139705566;0.68;94.0;0.9944;21.0;10.0
2024-07-18T09:10:29.271741+UTC;7.6;5;0.236;3.11;0.26;1.6;0.8;673613778;0.49;88.0;0.9968;10.0;9.3
2024-07-18T09:10:29.271741+UTC;6.9;6;0.074;3.42;0.1;2.3;0.58;2082159003;0.49;30.0;0.9959;12.0;10.2
2024-07-18T09:10:29.271741+UTC;8.2;6;0.089;3.53;0.44;2.8;0.61;530150981;0.4;43.0;0.9975;11.0;10.5
2024-07-18T09:10:29.271741+UTC;7.3;6;0.077;3.33;0.47;2.1;0.53;4225101473;0.33;11.0;0.9958;5.0;10.3
2024-07-18T09:10:29.271741+UTC;9.2;4;0.61;2.74;1.0;3.4;2.0;3282097591;0.52;69.0;0.9996;32.0;9.4
2024-07-18T09:10:29.271741+UTC;7.5;5;0.095;3.35;0.03;1.8;0.54;1041469699;0.6;99.0;0.995;25.0;10.1
2024-07-18T09:10:29.271741+UTC;7.5;5;0.095;3.35;0.03;1.8;0.54;1041469699;0.6;99.0;0.995;25.0;10.1
2024-07-18T09:10:29.271741+UTC;7.1;5;0.07;3.42;0.42;5.5;0.72;4073232160;0.43;129.0;0.9973;29.0;10.5
2024-07-18T09:10:29.271741+UTC;7.1;5;0.071;3.42;0.42;5.5;0.71;2755203890;0.43;128.0;0.9973;28.0;10.5
2024-07-18T09:10:29.271741+UTC;7.1;5;0.07;3.42;0.42;5.5;0.72;4073232160;0.43;129.0;0.9973;29.0;10.5
2024-07-18T09:10:29.271741+UTC;7.1;5;0.071;3.42;0.42;5.5;0.71;2755203890;0.43;128.0;0.9973;28.0;10.5
2024-07-18T09:10:29.271741+UTC;7.1;5;0.073;3.48;0.0;2.2;0.5;3616656191;0.68;22.0;0.9969;12.0;9.3
2024-07-18T09:10:29.271741+UTC;6.8;6;0.079;3.59;0.18;1.9;0.57;2084030665;0.6;86.0;0.9968;18.0;9.3
2024-07-18T09:10:29.271741+UTC;7.6;5;0.09;3.2;0.03;2.0;0.56;4021360819;0.95;20.0;0.9959;7.0;9.6
2024-07-18T09:10:29.271741+UTC;7.6;4;0.072;3.17;0.02;1.3;1.08;187095889;0.68;20.0;0.9965;9.0;9.2
2024-07-18T09:10:29.271741+UTC;7.8;6;0.076;3.33;0.04;1.7;0.56;1367488894;0.53;31.0;0.9964;17.0;10.0
2024-07-18T09:10:29.271741+UTC;7.4;5;0.07;3.37;0.26;7.3;0.49;615200732;0.6;121.0;0.9982;36.0;9.4
2024-07-18T09:10:29.271741+UTC;7.3;5;0.07;3.37;0.26;7.2;0.49;2670881058;0.59;121.0;0.9981;35.0;9.4
2024-07-18T09:10:29.271741+UTC;7.8;5;0.1;3.19;0.48;1.7;0.62;4047010018;0.63;96.0;0.9961;14.0;9.5
2024-07-18T09:10:29.271741+UTC;6.8;5;0.085;3.34;0.1;2.1;0.52;545950578;0.64;101.0;0.9956;18.0;10.2
2024-07-18T09:10:29.271741+UTC;7.3;4;0.072;3.37;0.03;1.6;0.48;3627643468;0.55;42.0;0.9956;17.0;9.0
2024-07-18T09:10:29.271741+UTC;6.8;6;0.089;3.47;0.07;2.1;0.55;1254774321;0.63;44.0;0.9953;11.0;10.4
2024-07-18T09:10:29.271741+UTC;7.5;5;0.36;3.0;0.24;1.8;1.59;1338391382;0.705;63.0;0.9964;15.0;9.5
2024-07-18T09:10:29.271741+UTC;7.9;4;0.058;3.36;0.03;1.8;0.33;5883081;0.885;8.0;0.9972;4.0;9.1
2024-07-18T09:10:29.271741+UTC;8.0;6;0.073;3.29;0.17;2.0;0.61;934446963;0.42;18.0;0.9972;6.0;9.2
2024-07-18T09:10:29.271741+UTC;8.0;6;0.073;3.29;0.17;2.0;0.61;934446963;0.42;18.0;0.9972;6.0;9.2
2024-07-18T09:10:29.271741+UTC;7.4;6;0.068;3.42;0.05;1.9;0.57;251491421;0.62;42.0;0.9961;24.0;11.5
2024-07-18T09:10:29.271741+UTC;7.3;5;0.08;3.33;0.21;2.0;0.47;3825364004;0.38;35.0;0.9961;7.0;9.5
2024-07-18T09:10:29.271741+UTC;6.9;5;0.085;3.35;0.04;1.5;0.78;2587845264;0.5;49.0;0.9958;19.0;9.5
2024-07-18T09:10:29.271741+UTC;7.3;5;0.08;3.33;0.21;2.0;0.47;3825364004;0.38;35.0;0.9961;7.0;9.5
2024-07-18T09:10:29.271741+UTC;7.5;6;0.087;3.58;0.42;2.3;0.61;1497299944;0.52;38.0;0.9972;8.0;10.5
2024-07-18T09:10:29.271741+UTC;7.0;5;0.068;3.48;0.0;2.5;0.56;1436681339;0.805;20.0;0.9969;7.0;9.6
2024-07-18T09:10:29.271741+UTC;8.8;5;0.067;3.19;0.14;2.4;0.59;3532035160;0.61;42.0;0.9969;10.0;9.5
2024-07-18T09:10:29.271741+UTC;8.8;5;0.067;3.19;0.14;2.4;0.59;3532035160;0.61;42.0;0.9969;10.0;9.5
2024-07-18T09:10:29.271741+UTC;8.9;5;0.27;3.12;0.49;2.0;1.02;1861714052;0.61;110.0;0.9972;23.0;9.3
2024-07-18T09:10:29.271741+UTC;7.2;5;0.076;3.44;0.02;2.5;0.52;2437486278;0.73;42.0;0.9972;16.0;9.3
2024-07-18T09:10:29.271741+UTC;6.8;5;0.077;3.54;0.2;1.8;0.58;1219294684;0.61;65.0;0.9971;11.0;9.3
2024-07-18T09:10:29.271741+UTC;6.7;6;0.079;3.52;0.21;1.9;0.58;2035916312;0.62;62.0;0.997;8.0;9.3
2024-07-18T09:10:29.271741+UTC;8.9;5;0.111;3.26;0.57;2.0;0.53;3509018346;0.31;85.0;0.9971;26.0;9.7
2024-07-18T09:10:29.271741+UTC;7.4;5;0.082;3.34;0.48;2.0;0.55;3482129318;0.39;67.0;0.9972;14.0;9.2
2024-07-18T09:10:29.271741+UTC;7.7;5;0.084;3.39;0.1;2.6;0.49;1477007268;0.705;26.0;0.9976;9.0;9.7
2024-07-18T09:10:29.271741+UTC;7.9;5;0.084;3.2;0.33;2.0;0.55;1164841048;0.5;143.0;0.9968;15.0;9.5
2024-07-18T09:10:29.271741+UTC;7.9;5;0.082;3.2;0.32;1.9;0.55;527630511;0.49;144.0;0.9968;17.0;9.5
2024-07-18T09:10:29.271741+UTC;8.2;5;0.077;3.23;0.35;2.9;0.62;1173143835;0.5;127.0;0.9976;21.0;9.4
2024-07-18T09:10:29.271741+UTC;6.4;6;0.074;3.57;0.25;1.9;0.62;3390601489;0.37;49.0;0.9974;21.0;9.8
