loaded_at;fixed acidity;quality;chlorides;pH;citric acid;residual sugar;sulphates;wine_id;volatile acidity;total sulfur dioxide;density;free sulfur dioxide;alcohol
2024-07-18T09:09:49.024145+UTC;7.9;6;0.045;3.13;0.45;1.5;0.39;33637758;0.19;96.0;0.9917;17.0;11.0
2024-07-18T09:09:49.024145+UTC;7.6;4;0.037;3.03;0.37;0.8;0.39;4183859383;0.48;100.0;0.9902;4.0;11.4
2024-07-18T09:09:49.024145+UTC;6.3;7;0.038;3.35;0.43;4.55;0.33;915351113;0.22;130.0;0.9918;31.0;11.5
2024-07-18T09:09:49.024145+UTC;7.5;5;0.051;3.09;0.31;17.7;0.64;3900735423;0.27;173.0;0.999;33.0;10.2
2024-07-18T09:09:49.024145+UTC;6.9;6;0.04;3.11;0.4;7.5;0.27;1245463610;0.23;151.0;0.9927;50.0;11.4
2024-07-18T09:09:49.024145+UTC;7.2;4;0.044;3.03;0.47;5.1;0.41;2281559169;0.32;65.0;0.991;19.0;12.6
2024-07-18T09:09:49.024145+UTC;5.9;5;0.054;3.28;0.3;12.9;0.39;1463612207;0.23;170.0;0.9972;57.0;9.4
2024-07-18T09:09:49.024145+UTC;6.0;4;0.06;3.11;0.07;1.2;0.35;553179420;0.67;108.0;0.9931;9.0;8.7
2024-07-18T09:09:49.024145+UTC;6.4;6;0.049;3.19;0.32;5.5;0.68;1621193936;0.25;176.0;0.995;41.0;9.2
2024-07-18T09:09:49.024145+UTC;6.4;6;0.048;3.19;0.31;5.5;0.66;1802154887;0.33;173.0;0.9951;42.0;9.3
2024-07-18T09:09:49.024145+UTC;7.1;5;0.053;3.09;0.15;1.2;0.43;2981842486;0.34;183.0;0.9936;61.0;9.2
2024-07-18T09:09:49.024145+UTC;6.8;5;0.048;2.93;0.4;22.0;0.5;3052286060;0.28;167.0;1.001;48.0;8.7
2024-07-18T09:09:49.024145+UTC;6.9;6;0.05;3.18;0.4;14.0;0.58;3758840676;0.27;227.0;0.9979;64.0;9.6
2024-07-18T09:09:49.024145+UTC;6.8;5;0.043;3.02;0.56;11.9;0.63;3472255150;0.26;226.0;0.997;64.0;9.3
2024-07-18T09:09:49.024145+UTC;6.8;5;0.043;3.02;0.56;11.9;0.63;3443066277;0.29;230.0;0.9972;66.0;9.3
2024-07-18T09:09:49.024145+UTC;6.7;6;0.04;3.12;0.41;9.4;0.61;1212912788;0.24;166.0;0.9954;49.0;9.9
2024-07-18T09:09:49.024145+UTC;5.9;5;0.038;3.15;0.23;4.2;0.5;4085254594;0.3;119.0;0.9924;42.0;11.0
2024-07-18T09:09:49.024145+UTC;6.8;8;0.034;3.26;0.35;3.8;0.57;1502576056;0.53;109.0;0.9906;26.0;12.7
2024-07-18T09:09:49.024145+UTC;6.5;4;0.047;3.09;0.28;8.5;0.54;1969523757;0.28;210.0;0.9962;54.0;8.9
2024-07-18T09:09:49.024145+UTC;6.6;6;0.052;3.09;0.28;8.5;0.55;623394087;0.28;211.0;0.9962;55.0;8.9
2024-07-18T09:09:49.024145+UTC;6.8;5;0.048;2.93;0.4;22.0;0.5;3052286060;0.28;167.0;1.001;48.0;8.7
2024-07-18T09:09:49.024145+UTC;6.8;6;0.045;3.02;0.36;8.0;0.37;2997329794;0.28;123.0;0.9928;28.0;11.4
